prompt,response
Who invented the Windows?,Bill Gates invented the Windows.
Who painted the The Kiss?,Gustav Klimt painted the The Kiss.
What is the capital of Italy?,The capital of Italy is Rome.
Who wrote Brave New World?,Aldous Huxley wrote Brave New World.
Who discovered graph theory?,Leonhard Euler discovered graph theory.
Where is the Tower of London located?,The Tower of London is located in United Kingdom.
Who invented the incandescent bulb?,Joseph Swan invented the incandescent bulb.
Who composed Prince Igor?,Alexander Borodin composed Prince Igor.
Who invented the light bulb?,Thomas Edison invented the light bulb.
When was the PageRank invented?,The PageRank was invented in 1998 by Sergey Brin.
Which animal is the ocean glider?,The wandering albatross is the ocean glider.
Which animal is the forest grizzly?,The brown bear is the forest grizzly.
Who painted the Black Square?,Kazimir Malevich painted the Black Square.
What is the currency of Austria?,The currency of Austria is the Euro.
Which animal is the pack hunter?,The gray wolf is the pack hunter.
Which animal is the plains roamer?,The american bison is the plains roamer.
Who wrote Things Fall Apart?,Chinua Achebe wrote Things Fall Apart.
When was the telegraph invented?,The telegraph was invented in 1837 by Samuel Morse.
When was the dynamite invented?,The dynamite was invented in 1867 by Alfred Nobel.
Who invented the Microsoft?,Paul Allen invented the Microsoft.
When was the MS-DOS invented?,The MS-DOS was invented in 1980 by Tim Paterson.
Which animal is the slow climber?,The two-toed sloth is the slow climber.
Who composed Peter Grimes?,Benjamin Britten composed Peter Grimes.
What year did Partition of India occur?,Partition of India occurred in 1947.
Who wrote Beloved?,Toni Morrison wrote Beloved.
What causes legionellosis?,legionellosis is caused by Legionella pneumophila.
Who composed Peter and the Wolf?,Sergei Prokofiev composed Peter and the Wolf.
Who composed Concerto for Orchestra?,Béla Bartók composed Concerto for Orchestra.
Who wrote The Unbearable Lightness of Being?,Milan Kundera wrote The Unbearable Lightness of Being.
Who invented the television?,Philo Farnsworth invented the television.
When did Great Depression begin?,Great Depression began in 1929.
What causes dengue?,dengue is caused by Aedes mosquitoes.
Who painted the Propped?,Jenny Saville painted the Propped.
What is the capital of Morocco?,The capital of Morocco is Rabat.
When did Treaty of Versailles begin?,Treaty of Versailles began in 1919.
Who painted the The Migration Series?,Jacob Lawrence painted the The Migration Series.
What country is pasta originally from?,pasta is originally from Italy.
Who painted the Untitled (Skull)?,Jean-Michel Basquiat painted the Untitled (Skull).
What is the currency of Canada?,The currency of Canada is the Dollar.
What year did Battle of Stalingrad occur?,Battle of Stalingrad occurred in 1942.
What is the currency of Zimbabwe?,The currency of Zimbabwe is the Dollar.
Who invented the electrolysis?,Humphry Davy invented the electrolysis.
When was the lightning rod invented?,The lightning rod was invented in 1752 by Benjamin Franklin.
What causes diphtheria?,diphtheria is caused by Corynebacterium diphtheriae.
When did War of the Roses begin?,War of the Roses began in 1455.
What gas is most abundant in Earth's atmosphere?,The most abundant gas in Earth's atmosphere is nitrogen.
When was the COBOL invented?,The COBOL was invented in 1959 by Grace Hopper.
Who discovered relativity?,Albert Einstein discovered relativity.
Where is the Forbidden City located?,The Forbidden City is located in China.
When was the xerography invented?,The xerography was invented in 1938 by Chester Carlson.
What country is croissant originally from?,croissant is originally from France.
Who discovered electron?,J.J. Thomson discovered electron.
Who invented the Linux?,Linus Torvalds invented the Linux.
Who discovered group theory?,Évariste Galois discovered group theory.
What year did Fall of the Berlin Wall occur?,Fall of the Berlin Wall occurred in 1989.
Which animal is the sings complex songs?,The humpback whale is the sings complex songs.
Who composed Scheherazade?,Nikolai Rimsky-Korsakov composed Scheherazade.
What causes dysentery?,dysentery is caused by Shigella.
What is the primary language of Japan?,The primary language of Japan is Japanese.
What is the largest planet in our solar system?,The largest planet in our solar system is Jupiter.
Which animal is the vibrant talker?,The scarlet macaw is the vibrant talker.
What year did September 11 Attacks occur?,September 11 Attacks occurred in 2001.
What year did Battle of Hastings occur?,Battle of Hastings occurred in 1066.
Who composed The Rite of Spring?,Igor Stravinsky composed The Rite of Spring.
What year did Great Depression occur?,Great Depression occurred in 1929.
Who composed Music for 18 Musicians?,Steve Reich composed Music for 18 Musicians.
